Konsum,Feedin,consumlimit_active,feedinlimit_active,limit_consum,limit_feedin,secondmarket_consum,secondmarket_feedin,Zielfunktionswert,Gesammtkostenenergie,Tarif_consum,Tarif_feedin,Konsumgesammt,feedin_gesammt
9630.19201388889,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
1121.04194348444,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
1259.65775462963,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
1333.96443452381,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
1267.3449239418,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
1291.11350859788,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
1338.4035218254,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
1397.74115410053,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
1257.93354828042,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
1335.20927579365,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
1354.8445271164,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
1425.52739748677,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
1423.04360119048,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
1582.93361441799,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
1622.94029431217,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
1682.49935515873,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
1744.45603505291,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
1732.22461970899,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
1824.3027281746,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
1938.43083664021,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
1947.48275462963,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
1994.71324404762,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2041.52468584656,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2117.90755621693,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2081.04280753968,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2150.12329695767,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2186.42759589947,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2171.01760912698,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2117.22190806878,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2101.64763558201,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2139.43288690476,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2129.0943287037,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2127.03910383598,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2134.06006944444,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2153.5072255291,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2108.65676256614,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2137.11106150794,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2115.26059854497,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
